locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNONLJBP_00036	CDS	1023	fbpC_1	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
MNONLJBP_00037	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
MNONLJBP_00038	CDS	1344	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
MNONLJBP_00039	CDS	1083	fgd2_1	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
MNONLJBP_00040	CDS	606				hypothetical protein
MNONLJBP_00041	CDS	903		3.3.2.10		Soluble epoxide hydrolase
MNONLJBP_00042	CDS	606				hypothetical protein
MNONLJBP_00043	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
MNONLJBP_00044	CDS	549	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
MNONLJBP_00045	CDS	504				hypothetical protein
MNONLJBP_00046	CDS	1023	auaH_1	1.1.1.394		Aurachin B dehydrogenase
MNONLJBP_00047	CDS	381				hypothetical protein
MNONLJBP_00048	CDS	411				hypothetical protein
MNONLJBP_00049	CDS	927				hypothetical protein
MNONLJBP_00050	CDS	1479	clcB_1			Voltage-gated ClC-type chloride channel ClcB
MNONLJBP_00051	CDS	843				hypothetical protein
MNONLJBP_00052	CDS	954		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
MNONLJBP_00053	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
MNONLJBP_00054	CDS	1521	aldH1_1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
MNONLJBP_00055	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
MNONLJBP_00056	CDS	969		1.3.1.103		2-haloacrylate reductase
MNONLJBP_00057	CDS	288				hypothetical protein
MNONLJBP_00058	CDS	1767				hypothetical protein
MNONLJBP_00059	CDS	1473				hypothetical protein
MNONLJBP_00060	CDS	225				putative PE-PGRS family protein PE_PGRS24
MNONLJBP_00061	CDS	831				hypothetical protein
MNONLJBP_00062	CDS	1212	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
MNONLJBP_00063	CDS	1101	pntAA_1	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
MNONLJBP_00064	CDS	333				hypothetical protein
MNONLJBP_00065	CDS	1428	pntB_1	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
MNONLJBP_00066	CDS	126				hypothetical protein
MNONLJBP_00067	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
MNONLJBP_00068	CDS	1407	PE3_1			PE family protein PE3
MNONLJBP_00069	CDS	1509	PE3_2			PE family protein PE3
MNONLJBP_00070	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MNONLJBP_00071	CDS	1119	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
MNONLJBP_00072	CDS	456				hypothetical protein
MNONLJBP_00073	CDS	441				hypothetical protein
MNONLJBP_00074	CDS	672				hypothetical protein
MNONLJBP_00075	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
MNONLJBP_00076	CDS	798				hypothetical protein
MNONLJBP_00077	CDS	870				hypothetical protein
MNONLJBP_00078	CDS	1365				hypothetical protein
MNONLJBP_00079	CDS	1041				hypothetical protein
MNONLJBP_00080	CDS	1506				hypothetical protein
MNONLJBP_00081	CDS	1593				hypothetical protein
MNONLJBP_00082	CDS	1173	lprN_1			Lipoprotein LprN
MNONLJBP_00083	CDS	1548				hypothetical protein
MNONLJBP_00084	CDS	708				hypothetical protein
MNONLJBP_00085	CDS	969				hypothetical protein
MNONLJBP_00086	CDS	555				hypothetical protein
MNONLJBP_00087	CDS	735				hypothetical protein
MNONLJBP_00088	CDS	1110				hypothetical protein
MNONLJBP_00089	CDS	1359				hypothetical protein
MNONLJBP_00090	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
MNONLJBP_00091	CDS	1035	sigG_1		COG1595	ECF RNA polymerase sigma factor SigG
MNONLJBP_00092	CDS	840		3.1.1.23	COG2267	Monoacylglycerol lipase
MNONLJBP_00093	CDS	750				hypothetical protein
MNONLJBP_00094	CDS	510				hypothetical protein
MNONLJBP_00095	CDS	2076	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
MNONLJBP_00096	CDS	657		2.1.1.6	COG4122	Catechol O-methyltransferase
MNONLJBP_00097	CDS	432				hypothetical protein
MNONLJBP_00098	CDS	1728	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MNONLJBP_00099	CDS	291	ricR_1		COG1937	Copper-sensing transcriptional repressor RicR
MNONLJBP_00100	CDS	1242			COG2814	Chloramphenicol efflux pump
MNONLJBP_00101	CDS	303				hypothetical protein
MNONLJBP_00102	CDS	765		2.3.2.-	COG1376	L,D-transpeptidase 4
MNONLJBP_00103	CDS	1848				hypothetical protein
MNONLJBP_00104	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
MNONLJBP_00105	CDS	768				hypothetical protein
MNONLJBP_00106	CDS	585			COG1309	putative HTH-type transcriptional regulator
MNONLJBP_00107	CDS	2247	napA_1	1.9.6.1		Periplasmic nitrate reductase
MNONLJBP_00108	CDS	1992	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
MNONLJBP_00109	CDS	660				hypothetical protein
MNONLJBP_00110	CDS	690				hypothetical protein
MNONLJBP_00111	CDS	504				hypothetical protein
MNONLJBP_00112	CDS	2898			COG2409	Heme uptake protein MmpL11
MNONLJBP_00113	CDS	411				Heme-binding protein
MNONLJBP_00114	CDS	1284				hypothetical protein
MNONLJBP_00115	CDS	1104			COG0628	Putative transport protein
MNONLJBP_00116	CDS	2835	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
MNONLJBP_00117	CDS	735				hypothetical protein
MNONLJBP_00118	CDS	594	trmB_1	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
MNONLJBP_00119	CDS	1086				hypothetical protein
MNONLJBP_00120	CDS	1479				hypothetical protein
MNONLJBP_00121	CDS	1821	pckG_1	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
MNONLJBP_00122	CDS	972	nadR_1		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
MNONLJBP_00123	CDS	1317				hypothetical protein
MNONLJBP_00124	CDS	1575		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
MNONLJBP_00125	CDS	1074	mcd_1	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
MNONLJBP_00126	CDS	1014	mch_1	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
MNONLJBP_00127	CDS	909	aes_1	3.1.1.-		Acetyl esterase
MNONLJBP_00128	CDS	1329				hypothetical protein
MNONLJBP_00129	CDS	549				hypothetical protein
MNONLJBP_00130	CDS	1212				hypothetical protein
MNONLJBP_00131	CDS	1410		2.3.1.20		Putative diacyglycerol O-acyltransferase
MNONLJBP_00132	CDS	789	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
MNONLJBP_00133	CDS	1464	geoB_1	1.2.1.86		Geranial dehydrogenase
MNONLJBP_00134	CDS	765		2.1.1.-		putative methyltransferase
MNONLJBP_00135	CDS	1155	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MNONLJBP_00136	CDS	1731				hypothetical protein
MNONLJBP_00137	CDS	1281	porA_1			Porin PorA
MNONLJBP_00138	CDS	1299				hypothetical protein
MNONLJBP_00139	CDS	414		3.1.-.-	COG1487	Ribonuclease VapC51
MNONLJBP_00140	CDS	195				Putative antitoxin VapB51
MNONLJBP_00141	CDS	981	php_1		COG1735	Phosphotriesterase homology protein
MNONLJBP_00142	CDS	1707				hypothetical protein
MNONLJBP_00143	CDS	690				hypothetical protein
MNONLJBP_00144	CDS	165				hypothetical protein
MNONLJBP_00145	CDS	690				hypothetical protein
MNONLJBP_00146	CDS	1707				hypothetical protein
MNONLJBP_00147	CDS	981	php_2		COG1735	Phosphotriesterase homology protein
MNONLJBP_00148	CDS	195				Putative antitoxin VapB51
MNONLJBP_00149	CDS	414		3.1.-.-	COG1487	Ribonuclease VapC51
MNONLJBP_00150	CDS	1299				hypothetical protein
MNONLJBP_00151	CDS	1281	porA_2			Porin PorA
MNONLJBP_00152	CDS	1731				hypothetical protein
MNONLJBP_00153	CDS	1155	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MNONLJBP_00154	CDS	765		2.1.1.-		putative methyltransferase
MNONLJBP_00155	CDS	1464	geoB_2	1.2.1.86		Geranial dehydrogenase
MNONLJBP_00156	CDS	789	caiD_2	4.2.1.149		Carnitinyl-CoA dehydratase
MNONLJBP_00157	CDS	1410		2.3.1.20		Putative diacyglycerol O-acyltransferase
MNONLJBP_00158	CDS	1212				hypothetical protein
MNONLJBP_00159	CDS	549				hypothetical protein
MNONLJBP_00160	CDS	1329				hypothetical protein
MNONLJBP_00161	CDS	909	aes_2	3.1.1.-		Acetyl esterase
MNONLJBP_00162	CDS	1014	mch_2	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
MNONLJBP_00163	CDS	1074	mcd_2	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
MNONLJBP_00164	CDS	1575		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
MNONLJBP_00165	CDS	1317				hypothetical protein
MNONLJBP_00166	CDS	972	nadR_2		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
MNONLJBP_00167	CDS	1821	pckG_2	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
MNONLJBP_00168	CDS	1479				hypothetical protein
MNONLJBP_00169	CDS	1086				hypothetical protein
MNONLJBP_00170	CDS	594	trmB_2	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
MNONLJBP_00171	CDS	735				hypothetical protein
MNONLJBP_00172	CDS	2835	mmpL3_2		COG2409	Trehalose monomycolate exporter MmpL3
MNONLJBP_00173	CDS	1104			COG0628	Putative transport protein
MNONLJBP_00174	CDS	1284				hypothetical protein
MNONLJBP_00175	CDS	411				Heme-binding protein
MNONLJBP_00176	CDS	2898			COG2409	Heme uptake protein MmpL11
MNONLJBP_00177	CDS	504				hypothetical protein
MNONLJBP_00178	CDS	690				hypothetical protein
MNONLJBP_00179	CDS	660				hypothetical protein
MNONLJBP_00180	CDS	1992	pepO_2	3.4.24.-	COG3590	Neutral endopeptidase
MNONLJBP_00181	CDS	2247	napA_2	1.9.6.1		Periplasmic nitrate reductase
MNONLJBP_00182	CDS	585			COG1309	putative HTH-type transcriptional regulator
MNONLJBP_00183	CDS	768				hypothetical protein
MNONLJBP_00184	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
MNONLJBP_00185	CDS	1848				hypothetical protein
MNONLJBP_00186	CDS	765		2.3.2.-	COG1376	L,D-transpeptidase 4
MNONLJBP_00187	CDS	303				hypothetical protein
MNONLJBP_00188	CDS	1242			COG2814	Chloramphenicol efflux pump
MNONLJBP_00189	CDS	291	ricR_2		COG1937	Copper-sensing transcriptional repressor RicR
MNONLJBP_00190	CDS	1728	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MNONLJBP_00191	CDS	432				hypothetical protein
MNONLJBP_00192	CDS	657		2.1.1.6	COG4122	Catechol O-methyltransferase
MNONLJBP_00193	CDS	2076	bglB_2	3.2.1.21	COG1472	Thermostable beta-glucosidase B
MNONLJBP_00194	CDS	510				hypothetical protein
MNONLJBP_00195	CDS	750				hypothetical protein
MNONLJBP_00196	CDS	840		3.1.1.23	COG2267	Monoacylglycerol lipase
MNONLJBP_00197	CDS	1035	sigG_2		COG1595	ECF RNA polymerase sigma factor SigG
MNONLJBP_00198	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
MNONLJBP_00199	CDS	1359				hypothetical protein
MNONLJBP_00200	CDS	1110				hypothetical protein
MNONLJBP_00201	CDS	735				hypothetical protein
MNONLJBP_00202	CDS	555				hypothetical protein
MNONLJBP_00203	CDS	969				hypothetical protein
MNONLJBP_00204	CDS	708				hypothetical protein
MNONLJBP_00205	CDS	1548				hypothetical protein
MNONLJBP_00206	CDS	1173	lprN_2			Lipoprotein LprN
MNONLJBP_00207	CDS	1593				hypothetical protein
MNONLJBP_00208	CDS	1506				hypothetical protein
MNONLJBP_00209	CDS	1041				hypothetical protein
MNONLJBP_00210	CDS	1365				hypothetical protein
MNONLJBP_00211	CDS	870				hypothetical protein
MNONLJBP_00212	CDS	798				hypothetical protein
MNONLJBP_00213	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
MNONLJBP_00214	CDS	672				hypothetical protein
MNONLJBP_00215	CDS	441				hypothetical protein
MNONLJBP_00216	CDS	456				hypothetical protein
MNONLJBP_00217	CDS	1119	adhB_2	1.1.1.1	COG1062	Alcohol dehydrogenase B
MNONLJBP_00218	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MNONLJBP_00219	CDS	1509	PE3_3			PE family protein PE3
MNONLJBP_00220	CDS	1407	PE3_4			PE family protein PE3
MNONLJBP_00221	CDS	645	kstR2_2			HTH-type transcriptional repressor KstR2
MNONLJBP_00222	CDS	126				hypothetical protein
MNONLJBP_00223	CDS	1428	pntB_2	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
MNONLJBP_00224	CDS	333				hypothetical protein
MNONLJBP_00225	CDS	1101	pntAA_2	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
MNONLJBP_00226	CDS	1212	caiA_2	1.3.8.13		Crotonobetainyl-CoA reductase
MNONLJBP_00227	CDS	831				hypothetical protein
MNONLJBP_00228	CDS	225				putative PE-PGRS family protein PE_PGRS24
MNONLJBP_00229	CDS	1473				hypothetical protein
MNONLJBP_00230	CDS	1767				hypothetical protein
MNONLJBP_00231	CDS	288				hypothetical protein
MNONLJBP_00232	CDS	969		1.3.1.103		2-haloacrylate reductase
MNONLJBP_00233	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
MNONLJBP_00234	CDS	1521	aldH1_2	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
MNONLJBP_00235	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
MNONLJBP_00236	CDS	954		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
MNONLJBP_00237	CDS	843				hypothetical protein
MNONLJBP_00238	CDS	1479	clcB_2			Voltage-gated ClC-type chloride channel ClcB
MNONLJBP_00239	CDS	927				hypothetical protein
MNONLJBP_00240	CDS	411				hypothetical protein
MNONLJBP_00241	CDS	381				hypothetical protein
MNONLJBP_00242	CDS	1023	auaH_2	1.1.1.394		Aurachin B dehydrogenase
MNONLJBP_00243	CDS	504				hypothetical protein
MNONLJBP_00244	CDS	549	msrA_2	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
MNONLJBP_00245	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
MNONLJBP_00246	CDS	606				hypothetical protein
MNONLJBP_00247	CDS	903		3.3.2.10		Soluble epoxide hydrolase
MNONLJBP_00248	CDS	606				hypothetical protein
MNONLJBP_00249	CDS	1083	fgd2_2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
MNONLJBP_00250	CDS	1344	bbsG_2	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
MNONLJBP_00251	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
MNONLJBP_00252	CDS	1023	fbpC_2	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
MNONLJBP_00253	CDS	780				hypothetical protein
MNONLJBP_00254	CDS	1368	mak_2	2.7.1.175		Maltokinase
MNONLJBP_00255	CDS	1806	treS_2	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
MNONLJBP_00256	CDS	1068				hypothetical protein
MNONLJBP_00257	CDS	1644				hypothetical protein
MNONLJBP_00258	CDS	369				hypothetical protein
MNONLJBP_00259	CDS	183				hypothetical protein
MNONLJBP_00260	CDS	435				hypothetical protein
MNONLJBP_00261	CDS	2145			COG0480	Elongation factor G-like protein
MNONLJBP_00262	CDS	1578	sauT_2	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
MNONLJBP_00263	CDS	1719	oxc_2	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
MNONLJBP_00264	CDS	945	oxyR_2			putative hydrogen peroxide-inducible genes activator
MNONLJBP_00265	CDS	756	ldtA_2	2.3.2.-	COG1376	L,D-transpeptidase 1
MNONLJBP_00266	CDS	189				hypothetical protein
MNONLJBP_00267	CDS	1161	hddA_2	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
MNONLJBP_00268	CDS	639	hisB_2	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
MNONLJBP_00269	CDS	624	gmhA_2	5.3.1.28	COG0279	Phosphoheptose isomerase
MNONLJBP_00270	CDS	957	rmd_2	1.1.1.281		GDP-6-deoxy-D-mannose reductase
MNONLJBP_00271	CDS	2025				hypothetical protein
MNONLJBP_00272	CDS	750	glpG_2	3.4.21.105		Rhomboid protease GlpG
MNONLJBP_00273	CDS	1491				hypothetical protein
MNONLJBP_00274	CDS	243				hypothetical protein
MNONLJBP_00275	CDS	4878	ctpI_2	3.6.3.-	COG0474	putative cation-transporting ATPase I
MNONLJBP_00276	CDS	1197			COG0523	putative protein
MNONLJBP_00277	CDS	285				hypothetical protein
MNONLJBP_00278	CDS	1515				hypothetical protein
MNONLJBP_00279	CDS	2259	ctpB_2	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
MNONLJBP_00280	CDS	1923			COG3336	putative protein
MNONLJBP_00281	CDS	7539	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
MNONLJBP_00282	CDS	249				putative protein
MNONLJBP_00283	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
MNONLJBP_00284	CDS	552				putative protein
MNONLJBP_00285	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
MNONLJBP_00286	CDS	1392				hypothetical protein
MNONLJBP_00287	CDS	291				hypothetical protein
MNONLJBP_00288	CDS	1527				hypothetical protein
MNONLJBP_00289	CDS	987	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
MNONLJBP_00290	CDS	864	dcsG	6.3.3.5		Cycloserine biosynthesis protein DcsG
MNONLJBP_00291	CDS	933	ctaA	1.3.-.-		Heme A synthase
MNONLJBP_00292	CDS	786				hypothetical protein
MNONLJBP_00293	CDS	942	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
MNONLJBP_00294	CDS	1776		2.4.1.-		Alpha-(1->6)-mannopyranosyltransferase
MNONLJBP_00295	CDS	735				hypothetical protein
MNONLJBP_00296	CDS	2541				hypothetical protein
MNONLJBP_00297	CDS	1194				hypothetical protein
MNONLJBP_00298	CDS	801	sufC		COG0396	Vegetative protein 296
MNONLJBP_00299	CDS	1254	csd_1	2.8.1.7	COG0520	putative cysteine desulfurase
MNONLJBP_00300	CDS	489	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
MNONLJBP_00301	CDS	348				hypothetical protein
MNONLJBP_00302	CDS	1830	dmdC	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
MNONLJBP_00303	CDS	1113				hypothetical protein
MNONLJBP_00304	CDS	1974	ctpD	3.6.3.-	COG2217	putative cobalt/nickel-exporting P-type ATPase
MNONLJBP_00305	CDS	375	trxC_1		COG0526	Putative thioredoxin 2
MNONLJBP_00306	CDS	372	trxC_2		COG0526	Putative thioredoxin 2
MNONLJBP_00307	CDS	858		4.2.1.17	COG1024	putative enoyl-CoA hydratase echA12
MNONLJBP_00308	CDS	1629	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
MNONLJBP_00309	CDS	192				hypothetical protein
MNONLJBP_00310	CDS	564				HTH-type transcriptional repressor
MNONLJBP_00311	CDS	2832	acn_1	4.2.1.3	COG1048	Aconitate hydratase A
MNONLJBP_00312	CDS	561				hypothetical protein
MNONLJBP_00313	CDS	1419	ripA	3.4.-.-	COG0791	Peptidoglycan endopeptidase RipA
MNONLJBP_00314	CDS	726	ripB	3.4.-.-	COG0791	Peptidoglycan endopeptidase RipB
MNONLJBP_00315	CDS	1134				hypothetical protein
MNONLJBP_00316	CDS	954			COG1721	putative protein
MNONLJBP_00317	CDS	1008				hypothetical protein
MNONLJBP_00318	CDS	924				hypothetical protein
MNONLJBP_00319	CDS	744	fabG1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG1
MNONLJBP_00320	CDS	810	inhA_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH]
MNONLJBP_00321	CDS	1035	hemH	4.99.1.1	COG0276	Ferrochelatase
MNONLJBP_00322	CDS	909				putative protein
MNONLJBP_00323	CDS	435				hypothetical protein
MNONLJBP_00324	CDS	1146			COG0330	putative protein
MNONLJBP_00325	CDS	357				hypothetical protein
MNONLJBP_00326	CDS	231				hypothetical protein
MNONLJBP_00327	CDS	1308				hypothetical protein
MNONLJBP_00328	CDS	759				hypothetical protein
MNONLJBP_00329	CDS	1848	mutA	5.4.99.2	COG1884	putative methylmalonyl-CoA mutase small subunit
MNONLJBP_00330	CDS	2253	mutB	5.4.99.2	COG1884	putative methylmalonyl-CoA mutase large subunit
MNONLJBP_00331	CDS	303	mazE4			putative antitoxin MazE4
MNONLJBP_00332	CDS	318	mazF4	3.1.-.-	COG2337	Endoribonuclease MazF4
MNONLJBP_00333	CDS	1005		3.6.-.-	COG1703	putative GTPase
MNONLJBP_00334	CDS	1287				hypothetical protein
MNONLJBP_00335	CDS	618				putative protein
MNONLJBP_00336	CDS	213			COG3360	Dodecin
MNONLJBP_00337	CDS	1029	pimF	2.4.-.-	COG0463	Putative glycosyltransferases
MNONLJBP_00338	CDS	822			COG5285	putative protein
MNONLJBP_00339	CDS	900				putative protein
MNONLJBP_00340	CDS	441	wecE_1	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
MNONLJBP_00341	CDS	564	wecE_2	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
MNONLJBP_00342	CDS	666	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
MNONLJBP_00343	CDS	501				hypothetical protein
MNONLJBP_00344	CDS	696				putative protein
MNONLJBP_00345	CDS	1560				hypothetical protein
MNONLJBP_00346	CDS	363	gmd_1	4.2.1.47		GDP-mannose 4,6-dehydratase
MNONLJBP_00347	CDS	765	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
MNONLJBP_00348	CDS	249				hypothetical protein
MNONLJBP_00349	CDS	1299				putative protein
MNONLJBP_00350	CDS	1023	gmd_2	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
MNONLJBP_00351	CDS	969	fcl_1	1.1.1.271	COG0451	GDP-L-fucose synthase
MNONLJBP_00352	CDS	732				hypothetical protein
MNONLJBP_00353	CDS	789		2.4.-.-	COG0463	putative glycosyltransferase
MNONLJBP_00354	CDS	855				hypothetical protein
MNONLJBP_00355	CDS	1011			COG0463	putative protein
MNONLJBP_00356	CDS	765	sap_1			Sulfolipid-1 exporter Sap
MNONLJBP_00357	CDS	960				hypothetical protein
MNONLJBP_00358	CDS	1041			COG0463	putative protein
MNONLJBP_00359	CDS	201				hypothetical protein
MNONLJBP_00360	CDS	1752		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase fadD25
MNONLJBP_00361	CDS	3537	mmpL8_1		COG2409	Sulfolipid-1 exporter MmpL8
MNONLJBP_00362	CDS	786		2.1.1.-		Phthiotriol/phenolphthiotriol dimycocerosates methyltransferase
MNONLJBP_00363	CDS	1245		2.4.-.-	COG1819	putative glycosyltransferase
MNONLJBP_00364	CDS	771	wbbL2			putative protein
MNONLJBP_00365	CDS	1281		2.4.-.-	COG1819	putative glycosyltransferase
MNONLJBP_00366	CDS	6264	pks5	2.3.1.-	COG3321	Mycocerosic acid synthase-like polyketide synthase
MNONLJBP_00367	CDS	441				hypothetical protein
MNONLJBP_00368	CDS	1755		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase fadD25
MNONLJBP_00369	CDS	1104	adh_1	1.1.1.1	COG1063	putative alcohol dehydrogenase adh
MNONLJBP_00370	CDS	567				hypothetical protein
MNONLJBP_00371	CDS	435				hypothetical protein
MNONLJBP_00372	CDS	1128		1.13.12.-	COG2070	Putative monooxygenase
MNONLJBP_00373	CDS	678	betI_1			HTH-type transcriptional regulator BetI
MNONLJBP_00374	CDS	237				hypothetical protein
